dcterms_identifier|dc_creator|tcsSignature|dcterms_title|dc_publisher|dcterms_created|iri|dcterms_modified
weakley2010|Weakley, Alan S.|Weakley 2010|Flora of the southern and mid-Atlantic states, working draft of 8 March 2010|2010|University of North Carolina Herbarium, North Carolina Botanical Garden, Chapel Hill, NC, US|http://www.herbarium.unc.edu/flora.htm|2015-08-01T09:11:47-05:00
gleason1991|Gleason, Henry A. and Arthur Cronquist|Gleason Cronquist 1991|Manual of Vascular Plants of Northeastern United States and Adjacent Canada|1991|The New York Botanical Garden, Bronx, NY, US|urn:isbn:0893273651|2015-08-01T09:11:47-05:00
radford1968|Radford, Albert E., Harry E. Ahles, and C. Ritchie Bell|Radford Ahles et al. 1968|Manual of the Vascular Flora of the Carolinas|1968|University of North Carolina Press, Chapel Hill, NC, US|urn:isbn:0807810878|2015-08-01T09:11:47-05:00
strausbaugh1977|Strausbaugh, P. D. and Earl L. Core|Strausbaugh Core 1977|Flora of West Virginia|1977|Seneca Books, Inc., Morgantown, WV, US|urn:isbn:0890920109|2015-08-01T09:11:47-05:00
wofford2002|Wofford, B. Eugene and Edward W. Chester|Wofford Chester 2002|Guide to the Trees, Shrubs, and Woody Vines of Tennessee|2002|University of Tennessee Press, Knoxville, TN, US|urn:isbn:1572332050|2015-08-01T09:11:47-05:00
fna1993|Flora of North America Editorial Committee, eds.|fna.org 1993|Flora of North America North of Mexico|1993|Flora of North America Association, New York, NY, US and Oxford, UK|http://www.fna.org/|2015-08-01T09:11:47-05:00
merlin1980|Merlin, Mark David|Merlin 1980|Hawaiian Forest Plants, third edition|1980|Oriental Publishing Company, Honolulu, HI, US|http://bioimages.vanderbilt.edu/taxon\182079-merlin1980#merlin1980|2015-08-01T09:11:47-05:00
natureserve2010|NatureServe|natureserv.org|NatureServe Explorer: An online encyclopedia of life [web application]. Version 7.1|2010|NatureServe, Arlington, VA, US|http://www.natureserve.org/|2015-08-01T09:11:47-05:00
pavlik1991|Pavlik, Bruce M., Pamela C. Muick, Sharon G. Johnson, and Marjorie Popper|Pavlick Muick et al. 1991|Oaks of California|1991|Cachuma Press and the California Oak Foundation, Los Olivos, CA, US|urn:isbn:0962850519|2015-08-01T09:11:47-05:00
kershner2008|Kershner, Bruce, Daniel Mathews, Gil Nelson, and Richard Spellenberg|Kershner Mathews et al. 2008|National Wildlife Federation field guide to the trees of North America|2008|Sterling Publishing Co., Inc., New York, NY, US|urn:isbn:1402738757|2015-08-01T09:11:47-05:00
kralr|Kral, Robert|Kral TNU|Taxon name use (no publication)|||http://bioimages.vanderbilt.edu/contact/uri#kralr|2015-08-01T09:11:47-05:00
lancer|Lance, Ron|Lance TNU|Taxon name use (no publication)|||http://bioimages.vanderbilt.edu/contact/uri#lancer|2015-08-01T09:11:47-05:00
frankism|Frankis, Michael P.|Frankis TNU|Taxon name use (no publication)|||http://bioimages.vanderbilt.edu/contact/uri#frankism|2015-08-01T09:11:47-05:00
mccormickc|McCormick, Carol Ann|McCormick TNU|Taxon name use (no publication)|||http://bioimages.vanderbilt.edu/contact/uri#mccormickc|2015-08-01T09:11:47-05:00
weakleya|Weakley, Alan S.|Weakely TNU|Taxon name use (no publication)|||http://bioimages.vanderbilt.edu/contact/uri#weakleya|2015-08-01T09:11:47-05:00
carman2001|Carman, Jack B|Carman 2001|Wildflowers of Tennessee|2001|Highland Rim Press, Tullahoma, TN, US|urn:isbn:0970841809|2015-08-01T09:11:47-05:00
algaebase2011|Guiry, M. D. and G. M. Guiry|algaebase.org|AlgaeBase|2011|National Uinversity of Ireland, Galway, IE|http://www.algaebase.org/|2015-08-01T09:11:47-05:00
desertmuseum|Arizona-Sonora Desert Museum|Arizona-Sonora Desert Museum TNU|Taxon name use (no publication)|||urn:lsid:biocol.org:col:35286|2015-08-01T09:11:47-05:00
epple1995|Epple, Anne Orth|Epple 1995|A Field Guide to the Plants of Arizona|1995|The Globe Pequot Press, Guilford, CT, US|urn:isbn:1560445637|2015-08-01T09:11:47-05:00
albers2002|Albers, F. and Meve, U. (eds.)|Albers Meve 2002|Illustrated Handbook of Succulent Plants: Asclepiadaceae|2002|Springer-Verlag, Berlin, DE|urn:isbn:3540419640|2015-08-01T09:11:47-05:00
raveillj|Raveill, Jay A.|Raveill TNU|Taxon name use (no publication)|||http://bioimages.vanderbilt.edu/contact/uri#raveillj|2015-08-01T09:11:47-05:00
welchla|Welch, LinnAnn|Welch TNU|Taxon name use (no publication)|||http://bioimages.vanderbilt.edu/contact/uri#welchla|2015-08-01T09:11:47-05:00
chesterew|Chester, Edward W.|Chester TNU|Taxon name use (no publication)|||http://bioimages.vanderbilt.edu/contact/uri#chesterew|2015-08-01T09:11:47-05:00
erteltj|Ertelt, Jonathan|Ertelt TNU|Taxon name use (no publication)|||http://bioimages.vanderbilt.edu/contact/uri#erteltj|2015-08-01T09:11:47-05:00
kaufmannm|Kaufmann, Maurice J.|Kaufmann TNU|Taxon name use (no publication)|||http://bioimages.vanderbilt.edu/contact/baskauf#kaufmannm|2015-08-01T09:11:47-05:00
segraveska|Segraves, Kari A.|Segraves TNU|Taxon name use (no publication)|||http://bioimages.vanderbilt.edu/contact/uri#segraveska|2015-08-01T09:11:47-05:00
wilbur1955|Wilbur, R. L.|Wilbur 1955|A revision of the North American genus Sabatia.  Rhodora 57:1-104.|1955|The New England Botanical Club|http://www.botanicus.org/page/625824|2015-08-01T09:11:47-05:00
andersonwb|Anderson, W. B.|Anderson TNU|Taxon name use (no publication)|||http://bioimages.vanderbilt.edu/contact/uri#andersonwb|2015-08-01T09:11:47-05:00
estes2007|Estes, D. and R.L. Small|Estes Small 2007|Two new species of Gratiola (Plantaginaceae) from eastern North America and an updated circumscription for Gratiola neglecta. J. Bot. Res. Institute of Texas 1:149-170.|2007|Botanical Research Institute of Texas|x|2015-08-01T09:11:47-05:00
horn2005|Horn, Dennis, Tavia Cathcart, Thomas E. Hemmerly, and David Duhl|Horn Tavia et al. 2005|Wildflowers of Tennessee, the Ohio Valley, and the Southern Appalachians|2005|Lone Pine Publishing, Auburn, WA, US|urn:isbn:1551054280|2015-08-01T09:11:47-05:00
behler1979|Behler, John L. and F. Wayne King|Behler King 1979|National Audubon Society Field Guide to North American Reptiles and Amphibians|1979|Alfred A. Knopf, Inc., New York, NY, US|urn:isbn:0394508246|2015-08-01T09:11:47-05:00
milne1980|Milne, Lorus and Margery Milne|Milne Milne 1980|National Audubon Society Field Guide to North American Insects and Spiders|1980|Alfred A. Knopf, Inc., New York, NY, US|urn:isbn:0394507630|2015-08-01T09:11:47-05:00
dunn1983|Dunn, Jon L. and Eirik A. T. Blom|Dunn Blom 1983|Field Guide to the Birds of North America|1983|National Geographic Society, Washington, DC, US|urn:isbn:0870446924|2015-08-01T09:11:47-05:00
